Date,Time,Memory Used,Swap Used,Gb Memory Used,Gb Swap Used
07/13/21,19:40,3990748,110136,3.80,.10
07/13/21,19:43,4013508,110132,3.82,.10
07/13/21,19:44,4015788,110132,3.82,.10
07/13/21,19:44,4016172,110132,3.83,.10
07/13/21,19:44,4015436,110132,3.82,.10
07/13/21,19:45,4055984,105232,3.86,.10
07/13/21,19:45,4075144,95348,3.88,.09
07/13/21,19:45,4092972,95348,3.90,.09
07/13/21,19:46,4059896,95344,3.87,.09
07/13/21,19:46,4058276,95344,3.87,.09
07/13/21,19:46,4054592,95344,3.86,.09
07/13/21,19:41,3985008,110136,3.80,.10
07/13/21,19:47,4054596,95344,3.86,.09
07/13/21,19:47,4047748,95344,3.86,.09
07/13/21,19:47,4061572,95344,3.87,.09
07/13/21,19:48,4065264,95344,3.87,.09
07/13/21,19:48,4044932,95344,3.85,.09
07/13/21,19:48,4049952,95344,3.86,.09
07/13/21,19:49,4048812,95344,3.86,.09
07/13/21,19:49,4048172,95344,3.86,.09
07/13/21,19:49,4045128,95344,3.85,.09
07/13/21,19:50,4042216,95344,3.85,.09
07/13/21,19:41,3987276,110136,3.80,.10
07/13/21,19:50,4042708,95344,3.85,.09
07/13/21,19:50,4042344,95344,3.85,.09
07/13/21,19:51,4043200,95344,3.85,.09
07/13/21,19:51,4113736,95328,3.92,.09
07/13/21,19:51,4070072,95328,3.88,.09
07/13/21,19:52,4066432,95328,3.87,.09
07/13/21,19:52,4064940,95328,3.87,.09
07/13/21,19:52,4061684,95328,3.87,.09
07/13/21,19:53,4070872,95328,3.88,.09
07/13/21,19:53,4057616,95324,3.86,.09
07/13/21,19:41,3984332,110136,3.79,.10
07/13/21,19:53,4054764,95324,3.86,.09
07/13/21,19:54,4084592,95324,3.89,.09
07/13/21,19:54,4082500,95324,3.89,.09
07/13/21,19:54,4055396,95324,3.86,.09
07/13/21,19:55,4054148,95324,3.86,.09
07/13/21,19:55,4070424,95324,3.88,.09
07/13/21,19:55,4053580,95324,3.86,.09
07/13/21,19:56,4052812,95324,3.86,.09
07/13/21,19:56,4054400,95324,3.86,.09
07/13/21,19:56,4062036,95324,3.87,.09
07/13/21,19:42,3984784,110136,3.80,.10
07/13/21,19:57,4054904,95324,3.86,.09
07/13/21,19:57,4054580,95324,3.86,.09
07/13/21,19:57,4048180,95320,3.86,.09
07/13/21,19:42,4012000,110136,3.82,.10
07/13/21,19:42,4014924,110132,3.82,.10
07/13/21,19:43,4013444,110132,3.82,.10
07/13/21,19:43,4013456,110132,3.82,.10
